#     RA       Dec
#
 16.2372  11.6481
 15.3699  10.2519
 14.6597   9.6990
 15.7074   9.5006
 15.1081  11.3485
 15.5500  10.4772
 14.8666  11.4481
 13.4343   9.9146
 15.2528  10.4785
 14.6099  10.4401
 15.4960   9.4418
 15.4274   8.9459
 14.2834  10.3673
 14.6348   9.0237
 13.9136   9.2135
 15.2434   9.3557
 15.9225   7.9803
 16.6179  11.0515
 14.9442  10.0490
 15.3688   9.9463
 14.5270   8.2992
 14.4797  10.3758
 14.8204   9.0652
 16.2212  10.0904
 14.8667  10.7849
 14.7384   9.7712
 15.9715  10.3629
 12.7752  10.3079
 14.3247  10.8393
 13.9433  11.3856
 13.3863   8.7166
 13.3315  10.9782
 14.1925  10.4831
 14.4090   9.1618
 14.5277  11.0047
 15.8509  10.5753
 15.2936  10.0626
 14.7610   8.7902
 16.0756   9.4982
 14.0898  10.1500
 15.8568  10.0677
 15.3237   9.6670
 15.5260  11.8336
 14.2602   8.5593
 15.5264  11.7720
 13.8386   9.9986
 14.1018  10.1470
 16.0292   9.8635
 14.6352   9.0162
 14.2949   9.7875
 14.3291   9.5118
 15.7556   9.3027
 15.4060   8.9639
 16.7758   9.6058
 15.6604  10.9479
 14.0844   9.8263
 15.2022   9.8890
 14.7934  10.0824
 15.6282   9.7366
 17.0471   9.8358
 13.4470  11.3745
 16.5217  11.0915
 15.8005  10.6410
 13.3979   9.8212
 14.8803  10.7925
 12.7367  10.1436
 14.2613  10.8659
 15.2160  10.4727
 16.9298  10.0598
 14.6331   9.9281
 15.4534   8.6833
 14.8473   9.6024
 14.0894  10.1671
 14.3664   9.7442
 14.8133   8.5439
 15.1995  10.1498
 15.4148  11.2354
 14.6436  10.8716
 13.5932   9.5956
 14.4186   9.7150
 15.7976  10.4561
 15.5106  10.0815
 15.4233  10.6813
 13.1969  10.6713
 15.2241   7.8614
 14.8808   9.8737
 14.2913   9.7894
 15.3733   8.9369
 15.3273  10.1788
 15.5858  11.7576
 16.1984  11.7671
 14.4624   9.8708
 14.2794  10.0521
 13.0469  11.2289
 14.3240   9.7798
 14.2117  10.3644
 14.9654  11.0357
 14.4364   9.7204
 14.3940  10.8636
 15.2261   9.1512
 15.8131   9.3443
 13.5457  10.0792
 14.7050  10.2264
 14.5462   8.8713
 15.9030  11.2788
 15.8098  10.2457
 17.1085   9.4090
 12.9217   9.5711
 16.0985   8.8460
 15.6654  10.2073
 14.8306   9.7382
 17.0684  10.7887
 16.0008  10.5240
 15.3280   8.2221
 14.8149   7.7772
 14.5960  10.3983
 14.2780  10.6853
 14.2673  10.4593
 14.2929   9.5213
 14.4885   9.5767
 16.3318  11.3851
 13.9613   9.9311
 14.5506  10.7956
 16.6525   9.1565
 15.0032  10.5155
 14.8567  11.0692
 13.3643   9.9990
 14.2242   9.6773
 14.4974   9.9936
 16.9313  10.7739
 14.3175  10.5880
 14.4440  10.7462
 15.2020   9.3999
 14.2401  10.2822
 14.6148   8.5238
 14.2127   9.9586
 15.8783  10.2823
 13.9398  11.9590
 16.5135   9.4302
 15.5429  10.6373
 14.2029  10.7621
 16.6219   9.4297
 15.4271  10.1185
 15.2759   9.9961
 15.6127  10.7136
 14.4152   9.3845
 13.1801  10.7192
 15.2727   9.4847
 14.5175  10.5711
 15.8793   9.4849
 14.9215  10.0528
 13.2776  11.2067
 15.3360  10.0714
 14.4657   9.5882
 14.4555   8.8963
 14.4371   8.5337
 15.1803   8.9248
 15.1266   9.9438
 14.6454   8.0782
 14.3337   9.8298
 13.7337  10.9516
 15.7837   9.8799
 15.2915   8.9288
 15.4199  10.6367
 15.2421  11.4148
 12.6866   9.9613
 15.8746  12.0139
 15.7858  10.3642
 16.3646  11.0995
 15.1799  10.6356
 14.4791  10.0119
 14.2212   8.4231
 14.1608  10.8267
 15.3082  10.5726
 14.9487  11.0303
 15.7986   9.3058
 13.0885  11.0606
 15.7182   9.1587
 14.6663  10.7468
 15.8321   9.7113
 15.7468   9.7753
 14.1657  10.3487
 13.3072   9.7974
 15.0353   9.4994
 14.1165  11.6993
 15.1495   9.0323
 13.9322   9.9284
 14.7110   9.7344
 15.1691   8.2309
 15.5967   9.4864
 15.0632   8.9013
 16.1723  11.1487
 15.5780  10.8216
 14.5858   9.8323
 14.9357   8.9869
 16.4349  11.5510
 14.2920  11.1910
 15.7976  11.1993
 15.0474  12.0171
 16.0250   9.7538
 14.6531   9.0938
 14.8169   9.9710
 15.5021   9.3079
 14.9948  10.0598
 14.5617  10.1504
 16.1703   9.5979
 16.2114   8.5139
 15.7963   8.1592
 14.5706  10.9331
 15.3569  11.5966
 15.1871  11.7272
 14.4598  10.9165
 15.1830   9.4061
 14.1762   9.9694
 14.6788  10.3821
 16.4387  11.0129
 15.7711   9.8306
 14.1542   9.2850
 14.3864  10.3242
 16.9234  11.2501
 13.9532  10.4845
 15.8534  10.3517
 14.1367  10.0762
 14.0659  10.0709
 15.5084  10.9560
 16.9001  10.0685
 14.7620  10.3048
 15.4792  11.0200
 14.4703  10.5838
 14.1350   9.7551
 14.3805  11.6758
 14.3924  10.8205
 14.5496  11.4115
 16.9223  10.9522
 12.9258  10.5619
 14.7453   9.9056
 16.7837  10.0293
 16.6946   8.9919
 16.8161  11.2882
 15.9412   9.7974
 15.4134   8.8616
 14.6861   9.3125
 14.7850   9.1716
 13.1684   9.9896
 15.6446   9.9574
 14.4274   9.9166
 15.4660   8.8866
 15.1960  11.0496
 14.6374  10.9244
 16.8298  10.1248
 14.5216   9.1158
 15.6405  10.6867
 16.8265   8.8644
 14.2134  10.1507
 13.8015  10.0787
 14.3678  10.2786
 15.4262   8.5390
 14.9398  10.5509
 15.0821  11.1045
 14.8500  10.7105
 14.8728  10.3662
 16.4969   9.9954
 14.6649  10.3102
 15.5239   9.1090
 13.9896   9.0068
 15.5102   9.1183
 15.1617  10.8321
 16.1417   9.5836
 14.9856  11.9906
 16.5100  11.2536
 14.8039   7.8945
 14.4978   9.6424
 15.0070  10.5922
 14.3998   8.3646
 15.0497   9.2365
 15.2138  12.2339
 14.7627   8.5300
 14.6226  12.0092
 13.3574   9.9466
 15.2660  11.0809
 16.2078   8.5823
 15.0026   7.8208
 16.0100  10.4456
 15.1479  11.4117
 13.6908   9.6538
 16.1919  11.6938
 13.9006  10.0105
 15.8396  10.5626
 15.0012   9.3647
 14.8340  10.2073
 15.1865  11.4540
 14.8674  10.3520
 13.9120  11.3308
 16.0316  11.0199
 14.9612   7.7379
 16.0320  10.1970
 15.8589  11.3669
 15.3268   9.7589
 14.7999  10.0275
 15.7268   9.2157
 14.8695  10.9171
 14.3655  11.7212
 15.0035   9.6814
 14.5686  10.9900
 15.3792   9.2137
 14.2491   8.9990
 15.7025  10.1422
 14.9596   9.7938
 15.4684   9.7318
 16.3118   9.4263
 14.5681  11.0348
 15.2306   9.1657
 15.3022   9.0497
 14.6570  10.3875
 15.6345  10.5738
 14.8759   9.5078
 15.3216  10.5130
 14.3870  10.5514
 13.8356  11.5813
 15.2692   9.3176
 15.7292   9.8188
 15.0674  10.7208
 14.0748  11.7668
 15.4342  10.4042
 16.7212  10.0101
 16.7607   9.7112
 16.0664   8.7856
 14.8821   8.3416
 15.7362   9.6305
 14.8746   9.1080
 14.7038   9.8119
 14.6829  10.4629
 14.2324  11.0328
 15.9883   9.4694
 15.5190  11.3209
 13.7001   8.2590
 14.2238  10.6477
 14.5328   8.9603
 16.7692  11.2888
 13.5840  10.7565
 14.3740   7.8054
 13.9722   9.1311
 16.1026   9.8320
 13.2977  11.1930
 17.2104   9.9572
 14.4488   9.6273
 16.6716   9.8971
 15.0249  10.0231
 14.1599   9.4060
 15.6930  10.6546
 15.7947  10.2529
 15.8775  10.6572
 15.2646  10.2222
 15.0004   9.1905
 14.9255  10.6836
 15.7858   9.7163
 14.6295   9.7055
 15.5265   8.7550
 14.9493   9.9189
 16.3812  10.4372
 17.1768   9.8464
 15.5478   9.8475
